State Code|State|Deaths_All|Population|Crude Rate|Deaths_conditions|Crude_Death_Rate_Conditions_Overall|ObesityPercent|Death_Condition_Val|Obesity_Val|Color_Val
01|Alabama|242128|19752465|1225.8|84498|427.78458283561065|37.35611666632772|20|2|22
02|Alaska|20444|2932814|697.1|5875|200.31955657603928|31.486798187292898|0|1|1
04|Arizona|276707|29148080|949.3|88702|304.3150698090578|30.05260133083388|10|0|10
05|Arkansas|143402|12088042|1186.3|51220|423.7245370259302|35.094744237990156|20|2|22
06|California|1191706|157675182|755.8|422283|267.8183051027016|27.252329335668122|0|0|0
08|Colorado|173115|23074088|750.3|50866|220.44641591034932|23.985516873010486|0|0|0
09|Connecticut|135161|14300555|945.1|42389|296.415069205356|28.620226911933976|0|0|0
10|Delaware|41103|3931128|1045.6|13816|351.4512882816332|35.53317937651724|20|2|22
11|District of Columbia|21966|2791070|787.0|7767|278.28037276026754|24.7478297891203|0|0|0
12|Florida|913482|86291502|1058.6|315934|366.124117297205|30.929302665715625|20|1|21
13|Georgia|386363|42646481|906.0|126991|297.7760345572241|33.59052759160618|0|1|1
15|Hawaii|47823|5684922|841.2|16780|295.16675866441085|24.32178669501651|0|0|0
16|Idaho|63439|7269109|872.7|20177|277.5718454627658|30.95832262933974|0|1|1
17|Illinois|476829|50671900|941.0|160725|317.1876325932124|31.541420157066362|10|1|11
18|Indiana|288205|26985035|1068.0|93819|347.6704773590251|35.574541791253196|10|2|12
19|Iowa|131430|12667855|1037.5|45381|358.23744430292265|35.72742097457812|20|2|22
20|Kansas|119308|11673206|1022.1|38590|330.5861303227237|35.211415927585975|10|2|12
21|Kentucky|213880|17922720|1193.3|67528|376.77316835837416|38.0123631952843|20|2|22
22|Louisiana|206271|18578137|1110.3|71186|383.17082062641697|36.78725482721475|20|2|22
23|Maine|62789|5405004|1161.7|19449|359.8332212150074|30.567158502782586|20|1|21
24|Maryland|219557|24309329|903.2|76207|313.48870221798387|32.68842478418937|10|1|11
25|Massachusetts|249120|27672949|900.2|72432|261.7429750620362|25.46954025260615|0|0|0
26|Michigan|432875|40000138|1082.2|156340|390.8486515721521|34.10957879791768|20|1|21
27|Minnesota|194271|22615543|859.0|57062|252.31319893579385|31.52449950367157|0|1|1
28|Mississippi|146540|11879430|1233.6|51410|432.7648717152254|40.27958829167156|20|2|22
29|Missouri|273252|24583615|1111.5|90367|367.5903645578569|35.217409242871064|20|2|22
30|Montana|45128|4315931|1045.6|14315|331.67814777391015|30.366613719673765|10|1|11
31|Nebraska|72348|7764920|931.7|23415|301.5485027534089|35.84022516228445|10|2|12
32|Nevada|113842|12396798|918.3|41049|331.12582781456956|29.509827688904462|10|0|10
33|New Hampshire|53416|5471436|976.3|16728|305.7332663673668|29.59764849374929|10|0|10
34|New Jersey|330810|35940211|920.4|111479|310.17903595501986|28.016851657840636|10|0|10
35|New Mexico|87626|8414453|1041.4|26904|319.73557877143054|30.752198141295075|10|1|11
36|New York|698259|78168459|893.3|254228|325.2309221037605|29.95248845729675|10|0|10
37|North Carolina|417308|42023689|993.0|133625|317.9754161991823|33.78155122184738|10|1|11
38|North Dakota|28465|3062396|929.5|9158|299.04689008214484|34.832353323626826|0|1|1
39|Ohio|539316|46851776|1151.1|185229|395.3510748450603|37.0885197680774|20|2|22
40|Oklahoma|180617|15867472|1138.3|64262|404.9920491430519|36.646386831685156|20|2|22
41|Oregon|158766|16896112|939.7|50510|298.9445145723466|29.82009473261359|0|0|0
42|Pennsylvania|579621|51356359|1128.6|193826|377.4138271757155|32.285237376464075|20|1|21
44|Rhode Island|43401|4269411|1016.6|14029|328.59333523991955|28.936156572436495|10|0|10
45|South Carolina|228247|20641586|1105.8|73327|355.2391759044097|34.91069668401111|20|2|22
46|South Dakota|35287|3554987|992.6|11527|324.2487243975857|34.21661301129551|10|1|11
47|Tennessee|318348|27461236|1159.3|105880|385.56166954757606|35.81058182658997|20|2|22
48|Texas|923563|116586426|792.2|304507|261.185637511523|35.128946753304454|0|2|2
49|Utah|81156|12954917|626.4|26383|203.65240472015375|30.037496354775918|0|0|0
50|Vermont|25319|2519205|1005.0|8713|345.8630798208165|27.556254055389406|10|0|10
51|Virginia|306220|34286041|893.1|99863|291.2643078272|32.799693925537696|0|1|1
53|Washington|246975|30582788|807.6|79526|260.03515441430653|29.289324843924295|0|0|0
54|West Virginia|102491|7165725|1430.3|33369|465.6751410359733|39.46177223335566|20|2|22
55|Wisconsin|231552|23364565|991.0|76464|327.2648131904018|34.01487965440891|10|1|11
56|Wyoming|22756|2317627|981.9|6765|291.893389229587|29.11480991351631|0|0|0
